question	answer	class
Ringo Star narrates which children's TV series	Quebec	0
Which country grows the most fruit	China	1
Which country grows the most fruit	Yellow	0
Which country grows the most fruit	Sweden	0
Which country grows the most fruit	Mary Quant	0
Which company is owned by Bill Gates	Microsoft	1
Which company is owned by Bill Gates	Donald Campbell	0
Which company is owned by Bill Gates	Brindisi  - Brindisium	0
Which company is owned by Bill Gates	Leo	0
What would you do with a maris piper	Eat it  - it’s a potato	1
What would you do with a maris piper	Boston	0
What would you do with a maris piper	Uncut hair or beard	0
What would you do with a maris piper	Pears	0
In Casablanca what is the name of the nightclub	Rick's	1
In Casablanca what is the name of the nightclub	Alice in Wonderland	0
In Casablanca what is the name of the nightclub	Flying Plane	0
In Casablanca what is the name of the nightclub	Aussie Rules Football	0
What was the first James Bond book	Casino Royal	1
What was the first James Bond book	Telephone on his desk	0
What was the first James Bond book	Oscar Wilde	0
What was the first James Bond book	Cherries	0
What kind of animal is a lurcher	Dog 	1
What kind of animal is a lurcher	Phoenician	0
What kind of animal is a lurcher	The Shag	0
What kind of animal is a lurcher	Eat fried chicken	0
What is the currency of Austria	Schilling	1
What is the currency of Austria	Go hang yourself	0
What is the currency of Austria	Al Capone	0
What is the currency of Austria	Scarlet Pimpernel	0
What is the Islamic equal to the red cross	Red Crescent	1
What is the Islamic equal to the red cross	Rome	0
What is the Islamic equal to the red cross	Ball shaped	0
What is the Islamic equal to the red cross	The Stain	0
In fable who sold a cow for five beans	Jack ( and grew a beanstalk )	1
In fable who sold a cow for five beans	Limerick	0
In fable who sold a cow for five beans	Tongue	0
In fable who sold a cow for five beans	North by Northwest	0
How did Alfred Nobel make his money	He invented Dynamite	1
How did Alfred Nobel make his money	Food or Restaurants	0
How did Alfred Nobel make his money	Canada	0
How did Alfred Nobel make his money	Men	0
Who was the first man to run a sub four minute mile	Roger Bannister	1
Who was the first man to run a sub four minute mile	Dollar sign	0
Who was the first man to run a sub four minute mile	J L Webb	0
Who was the first man to run a sub four minute mile	O'Hare Chicago	0
What are Munroes	Mountains in Scotland	1
What are Munroes	Dancing Mania	0
What are Munroes	Snakes	0
What are Munroes	Sweden	0
Which car company makes the Celica	Toyota	1
Which car company makes the Celica	Pink	0
Which car company makes the Celica	Tantalus	0
Which car company makes the Celica	Write things down	0
Air Lingus is the national airline of which country	Republic of Ireland or Eire	1
Air Lingus is the national airline of which country	Alvin Stardust	0
Air Lingus is the national airline of which country	Wood	0
Air Lingus is the national airline of which country	Scruple	0
Who discovered radium	The Curies	1
Who discovered radium	Scottish Shortbread	0
Who discovered radium	Periodic Table	0
Who discovered radium	Mickey Dolenz	0
What does an alopecia sufferer lack	Hair	1
What does an alopecia sufferer lack	Joanne Kathleen	0
What does an alopecia sufferer lack	A Drive in theatre	0
What does an alopecia sufferer lack	Edward Hyde	0
Who painted The Haywain	John Constable	1
Who painted The Haywain	Apple	0
Who painted The Haywain	Attend church	0
Who painted The Haywain	Aslan	0
Triskadeccaphobia is the fear of what	Number 13	1
Triskadeccaphobia is the fear of what	Diamonds	0
Triskadeccaphobia is the fear of what	Reginald Christie	0
Triskadeccaphobia is the fear of what	None	0
What is a baby rabbit called	Kit or Kitten	1
What is a baby rabbit called	Joad	0
What is a baby rabbit called	Norway	0
What is a baby rabbit called	Tiger	0
Which country had The Dauphin as a ruler	France	1
Which country had The Dauphin as a ruler	Patsy	0
Which country had The Dauphin as a ruler	Big words	0
Which country had The Dauphin as a ruler	Malaria	0
Who did Michael Caine play in the Ipcress File (both names)	Harry Palmer	1
Who did Michael Caine play in the Ipcress File (both names)	The Time - No Clocks	0
Who did Michael Caine play in the Ipcress File (both names)	Cosmetics	0
Who did Michael Caine play in the Ipcress File (both names)	Disiree white Arabian	0
Who won Euro song contest Save All Your Kisses For Me	Brotherhood of Man	1
Who won Euro song contest Save All Your Kisses For Me	Ice Cream	0
Who won Euro song contest Save All Your Kisses For Me	Frankie Lane Rawhide	0
Who won Euro song contest Save All Your Kisses For Me	DV	0
Which country had the guns of Naverone installed	Turkey	1
Which country had the guns of Naverone installed	Jewellery	0
Which country had the guns of Naverone installed	Eiffel tower	0
Which country had the guns of Naverone installed	Portugal	0
Ictheologists study what	Fish	1
Ictheologists study what	Edward 2nd	0
Ictheologists study what	Tigers	0
Ictheologists study what	Pandora	0
What is a Winston Churchill	Cigar	1
What is a Winston Churchill	Aquarius	0
What is a Winston Churchill	On an Organ	0
What is a Winston Churchill	Self Loading Rifle	0
Who or what lives in a formicarium	Ants	1
Who or what lives in a formicarium	Monkeys	0
Who or what lives in a formicarium	Knit	0
Who or what lives in a formicarium	Oil	0
What type of acid is used in car batteries	Sulphuric	1
What type of acid is used in car batteries	Doctor Dolittle	0
What type of acid is used in car batteries	Proctor and Gamble	0
What type of acid is used in car batteries	Benson Dubois	0
It’s a flock of sheep what's a group of owls called	Parliament	1
It’s a flock of sheep what's a group of owls called	Egypt	0
It’s a flock of sheep what's a group of owls called	I am Stupid	0
It’s a flock of sheep what's a group of owls called	Is ( Is this the real life)	0
What animal would you find in a form	Hare	1
What animal would you find in a form	Sight	0
What animal would you find in a form	Goats	0
What animal would you find in a form	Ferrari Dino	0
Who in books and films was the man of bronze	Doc Savage	1
Who in books and films was the man of bronze	Pituitary	0
Who in books and films was the man of bronze	Coffee	0
Who in books and films was the man of bronze	1001 Arabian Nights	0
Who was Stan Laurels partner	Oliver Hardy	1
Who was Stan Laurels partner	Sole of foot	0
Who was Stan Laurels partner	Key Rings	0
Who was Stan Laurels partner	Sweden	0
What kind of food is Cullan Skink	Fish	1
What kind of food is Cullan Skink	Armpits	0
What kind of food is Cullan Skink	Cyprus	0
What kind of food is Cullan Skink	Hugo Gernsback	0
What is classified by the A B O system	Blood Groups	1
What is classified by the A B O system	Sheet Bend	0
What is classified by the A B O system	John Tracy Austin	0
What is classified by the A B O system	Finland	0
What plant does the Colorado beetle attack	Potato	1
What plant does the Colorado beetle attack	Margaret Mitchell	0
What plant does the Colorado beetle attack	Switzerland	0
What plant does the Colorado beetle attack	Tomatoes	0
Where did the Pied Piper play	Hamlin	1
Where did the Pied Piper play	To Call Out	0
Where did the Pied Piper play	Quiz	0
Where did the Pied Piper play	Vivien Leigh	0
To where in France do the sick make pilgrimages	Lourdes	1
To where in France do the sick make pilgrimages	Forty	0
To where in France do the sick make pilgrimages	Haze	0
To where in France do the sick make pilgrimages	Clarinet	0
In which city was the famous black hole	Calcutta	1
In which city was the famous black hole	Dick Turpin	0
In which city was the famous black hole	Go into space	0
In which city was the famous black hole	Machu Picchu	0
Christopher Cockerel invented what	Hovercraft	1
Christopher Cockerel invented what	Sir Winston Churchill	0
Christopher Cockerel invented what	Infinity	0
Christopher Cockerel invented what	Oslo - Sweden	0
Ray Bolger played who in The Wizard of Oz	Scarecrow	1
Ray Bolger played who in The Wizard of Oz	Elephants	0
Ray Bolger played who in The Wizard of Oz	Jukebox	0
Ray Bolger played who in The Wizard of Oz	The Big Bang	0
Sabotage is French - What did the saboteurs use	Shoes - sabot means shoe	1
Sabotage is French - What did the saboteurs use	George Orwell	0
Sabotage is French - What did the saboteurs use	In the human ear	0
Sabotage is French - What did the saboteurs use	Androcles	0
Which part of the human body contains the most gold	Toenails	1
Which part of the human body contains the most gold	Head	0
Which part of the human body contains the most gold	Fermented Cows Milk	0
Which part of the human body contains the most gold	The Who	0
If you had rubella what would you have caught	German Measles	1
If you had rubella what would you have caught	A Lion	0
If you had rubella what would you have caught	Level	0
If you had rubella what would you have caught	The Computer	0
Mohs scale hardest substance is diamond - what's the softest	Talc	1
Mohs scale hardest substance is diamond - what's the softest	Cuba	0
Mohs scale hardest substance is diamond - what's the softest	Rocky and Bullwinkle	0
Mohs scale hardest substance is diamond - what's the softest	Pinocchio	0
What links - Goa - Kerula - Assam - Bihar	India	1
What links - Goa - Kerula - Assam - Bihar	Meat stew	0
What links - Goa - Kerula - Assam - Bihar	Moscow	0
What links - Goa - Kerula - Assam - Bihar	Portrait of a man	0
Eric Arthur Blaire was the real name of which author	George Orwell	1
Eric Arthur Blaire was the real name of which author	Louis L'Amour	0
Eric Arthur Blaire was the real name of which author	Still Life painting	0
Eric Arthur Blaire was the real name of which author	Football  village play	0
Names - Baker Cook obvious what did Cordwainer do	Shoemaker	1
Names - Baker Cook obvious what did Cordwainer do	Poison Ivy	0
Names - Baker Cook obvious what did Cordwainer do	J Geils Band	0
Names - Baker Cook obvious what did Cordwainer do	Park Street	0
Which country do Sinologists study	China	1
Which country do Sinologists study	Montana	0
Which country do Sinologists study	Poland	0
Which country do Sinologists study	Pork	0
Rudy Stevens became famous under which name	Barbara Stanwyck	1
Rudy Stevens became famous under which name	Mother of Pearl	0
Rudy Stevens became famous under which name	Toyota	0
Rudy Stevens became famous under which name	Benjamin Franklin	0
Which non alcoholic cordial is made from pomegranates	Grenadine	1
Which non alcoholic cordial is made from pomegranates	Zeus	0
Which non alcoholic cordial is made from pomegranates	Crane	0
Which non alcoholic cordial is made from pomegranates	David Lean	0
What is Orchesis - either professional or amateur	Art of Dancing	1
What is Orchesis - either professional or amateur	Cuba	0
What is Orchesis - either professional or amateur	Bic pens	0
What is Orchesis - either professional or amateur	Bullet	0
Taken literally what should you see in a Hippodrome	Horses	1
Taken literally what should you see in a Hippodrome	Glassblower	0
Taken literally what should you see in a Hippodrome	Wishbone 	0
Taken literally what should you see in a Hippodrome	The Rolling Stones	0
Who wrote the Man in the Iron Mask	Alexander Dumas	1
Who wrote the Man in the Iron Mask	Rabbits	0
Who wrote the Man in the Iron Mask	Black Sabbath	0
Who wrote the Man in the Iron Mask	Potato	0
Which 1993 Disney film starred Bet Middler as a witch	Hocus Pocus	1
Which 1993 Disney film starred Bet Middler as a witch	Bags Crisps - chips	0
Which 1993 Disney film starred Bet Middler as a witch	Drown weeds	0
Which 1993 Disney film starred Bet Middler as a witch	Laburnum	0
Who piloted the first flight across the English channel	Louis Bleriot	1
Who piloted the first flight across the English channel	Photocopier	0
Who piloted the first flight across the English channel	Keep the Sabbath holy	0
Who piloted the first flight across the English channel	Grapefruit	0
What was the first James Bond film	Dr No	1
What was the first James Bond film	Tax Collectors	0
What was the first James Bond film	Potato	0
What was the first James Bond film	Cheese	0
What 1991 film won best film, actor, actress, director Oscars	Silence of the Lambs	1
What 1991 film won best film, actor, actress, director Oscars	Greyhounds	0
What 1991 film won best film, actor, actress, director Oscars	Captain William Bligh	0
What 1991 film won best film, actor, actress, director Oscars	Greeks	0
What was the capital of Ethiopia	Addis Ababa	1
What was the capital of Ethiopia	Bleak House	0
What was the capital of Ethiopia	Joe Orton	0
What was the capital of Ethiopia	Drink Driving	0
Aescapalious emblem staff snake Greek Roman god of what	Medicine	1
Aescapalious emblem staff snake Greek Roman god of what	Smelly Feet	0
Aescapalious emblem staff snake Greek Roman god of what	Stress Related	0
Aescapalious emblem staff snake Greek Roman god of what	New Zealand	0
Giacomo Agostini - 122 Grand Prix 15 world titles what sport	Motorcycle Racing	1
Giacomo Agostini - 122 Grand Prix 15 world titles what sport	Clarence Nash	0
Giacomo Agostini - 122 Grand Prix 15 world titles what sport	Vacuum	0
Giacomo Agostini - 122 Grand Prix 15 world titles what sport	Muriel Spark	0
What is the largest state in the USA	Alaska	1
What is the largest state in the USA	Potato	0
What is the largest state in the USA	A Baseball Match	0
What is the largest state in the USA	Austria	0
Led Deighton trilogy Game Set Match What 3 Capitals 	Berlin MexicoLondon	1
Led Deighton trilogy Game Set Match What 3 Capitals 	Yellowstone Park	0
Led Deighton trilogy Game Set Match What 3 Capitals 	A variety of Apple	0
Led Deighton trilogy Game Set Match What 3 Capitals 	Eating with forks	0
Alan Stuart Konigsberg famous as who	Woody Allen	1
Alan Stuart Konigsberg famous as who	Potatoes	0
Alan Stuart Konigsberg famous as who	Rome in 1960 (3)	0
Alan Stuart Konigsberg famous as who	Mike Newell	0
Which human rights organisation founded 1961 got Nobel 1977	Amnesty International	1
Which human rights organisation founded 1961 got Nobel 1977	Lux	0
Which human rights organisation founded 1961 got Nobel 1977	Eggs	0
Which human rights organisation founded 1961 got Nobel 1977	Egyptian Greek	0
Whose autobiography was The long walk to Freedom	Nelson Mandela	1
Whose autobiography was The long walk to Freedom	Names into language	0
Whose autobiography was The long walk to Freedom	Change Underwear	0
Whose autobiography was The long walk to Freedom	Paris	0
What was discovered in 1922 by Howard Carter	Tutankamen tomb	1
What was discovered in 1922 by Howard Carter	The Paperclip	0
What was discovered in 1922 by Howard Carter	Soya bean	0
What was discovered in 1922 by Howard Carter	Billy the Kid	0
Clyde Tonbaugh discovered what planet in 1930	Pluto	1
Clyde Tonbaugh discovered what planet in 1930	Chrome dildo	0
Clyde Tonbaugh discovered what planet in 1930	Rule	0
Clyde Tonbaugh discovered what planet in 1930	Star Trek	0
Who won the women's heptathlon at Seoul in 1988	Jackie Joyner-Kersey	1
Who won the women's heptathlon at Seoul in 1988	Buster Crabbe	0
Who won the women's heptathlon at Seoul in 1988	Mother Theresa	0
Who won the women's heptathlon at Seoul in 1988	Anise	0
Who wrote Northanger Abbey	Jayne Austin	1
Who wrote Northanger Abbey	Birds Eggs	0
Who wrote Northanger Abbey	Eating horsemeat	0
Who wrote Northanger Abbey	Rhonda Fleming	0
Who ran through the streets naked crying Eureka	Archimedes	1
Who ran through the streets naked crying Eureka	Gap in front teeth	0
Who ran through the streets naked crying Eureka	Vagina	0
Who ran through the streets naked crying Eureka	Tin can (food)	0
Who composed the Brandeberg concertos full names	Johan Sebastian Bach	1
Who composed the Brandeberg concertos full names	York	0
Who composed the Brandeberg concertos full names	District of Columbia	0
Who composed the Brandeberg concertos full names	The Pope	0
Who won the World Series in 1987	Minnesota twins	1
Who won the World Series in 1987	Home Management	0
Who won the World Series in 1987	Hands its your thumbs	0
Who won the World Series in 1987	Joseph Pulitzer	0
What is the correct term of address to the Pope	Your Holiness	1
What is the correct term of address to the Pope	Turendot	0
What is the correct term of address to the Pope	Toothbrush	0
What is the correct term of address to the Pope	East Germany	0
In which city was Alexander Graham Bell born in 1847	Edinburgh	1
In which city was Alexander Graham Bell born in 1847	Winnie the Pooh	0
In which city was Alexander Graham Bell born in 1847	Diamond	0
In which city was Alexander Graham Bell born in 1847	Comedy	0
Who composed the ballets Sleeping Beauty and The Nutcracker	Tchaikovsky	1
Who composed the ballets Sleeping Beauty and The Nutcracker	Odin chief Norse God	0
Who composed the ballets Sleeping Beauty and The Nutcracker	Ovaltine	0
Who composed the ballets Sleeping Beauty and The Nutcracker	Wireworm	0
AG Bell opened school in Boston in 1872 for Teachers of what	The Deaf	1
AG Bell opened school in Boston in 1872 for Teachers of what	Boopadoop	0
AG Bell opened school in Boston in 1872 for Teachers of what	Eats Fish	0
AG Bell opened school in Boston in 1872 for Teachers of what	Star Trek	0
Benjamin Kubelsky 1894 fame as what comedian	Jack Benny	1
Benjamin Kubelsky 1894 fame as what comedian	Bandages on hands	0
Benjamin Kubelsky 1894 fame as what comedian	Very softly	0
Benjamin Kubelsky 1894 fame as what comedian	Radio Keith Orphium	0
In the Old Testament what book comes between Obadiah - Micah	Jonah	1
In the Old Testament what book comes between Obadiah - Micah	Julian	0
In the Old Testament what book comes between Obadiah - Micah	Electric street lighting	0
In the Old Testament what book comes between Obadiah - Micah	Bison	0
Robin Williams dressed in drag for which 1993 film	Mrs Doubtfire	1
Robin Williams dressed in drag for which 1993 film	John D Rockerfeller	0
Robin Williams dressed in drag for which 1993 film	Forests	0
Robin Williams dressed in drag for which 1993 film	Head in Lions Mouth	0
Which chess piece could be a member of the church	Bishop	1
Which chess piece could be a member of the church	Fantastic Four	0
Which chess piece could be a member of the church	The Lotus	0
Which chess piece could be a member of the church	On a Flag	0
Which German word means lightning war used in WW2	Blitzkrieg	1
Which German word means lightning war used in WW2	Reading Jail	0
Which German word means lightning war used in WW2	Blackbeard	0
Which German word means lightning war used in WW2	Cauliflower	0
Broccoli belongs to what family of plants	Cabbage	1
Broccoli belongs to what family of plants	Duke	0
Broccoli belongs to what family of plants	The Ostrich	0
Broccoli belongs to what family of plants	New Zealand	0
Who designed the first Iron ship the Great Britain in 1845	I. Kingdom Brunel	1
Who designed the first Iron ship the Great Britain in 1845	Wealth	0
Who designed the first Iron ship the Great Britain in 1845	Sing out of Tune	0
Who designed the first Iron ship the Great Britain in 1845	A Mess	0
Whose boat Bluebird was recently raised from Coniston water	Donald Campbell	1
Whose boat Bluebird was recently raised from Coniston water	St Agnes	0
Whose boat Bluebird was recently raised from Coniston water	Edward 2nd	0
Whose boat Bluebird was recently raised from Coniston water	Escape - The one that got away	0
in 1951 which (of two) car companies introduced power steering	Buick - Chrysler	1
in 1951 which (of two) car companies introduced power steering	From Leprosy	0
in 1951 which (of two) car companies introduced power steering	Bows	0
in 1951 which (of two) car companies introduced power steering	Lilly Langtree	0
Who wrote Catch 22 (both names)	Joseph Heller	1
Who wrote Catch 22 (both names)	Sharon Stone	0
Who wrote Catch 22 (both names)	Ghana	0
Who wrote Catch 22 (both names)	Brainwashing	0
Which country set up the world’s first chemistry lab in 1650	Netherlands	1
Which country set up the world’s first chemistry lab in 1650	Red	0
Which country set up the world’s first chemistry lab in 1650	Architects	0
Which country set up the world’s first chemistry lab in 1650	Wisdom	0
What links the names Botvinik, Tal, Karpov, Fischer	Chess World Champs	1
What links the names Botvinik, Tal, Karpov, Fischer	California	0
What links the names Botvinik, Tal, Karpov, Fischer	Common Housefly	0
What links the names Botvinik, Tal, Karpov, Fischer	A football  (soccer)	0
What is the national flower of Japan	Chrysanthemum	1
What is the national flower of Japan	Spam	0
What is the national flower of Japan	Drunk	0
What is the national flower of Japan	Shirley Bassey	0
Bombardier Billy Wells was seen on many Rank films - why	Hit Gong	1
Bombardier Billy Wells was seen on many Rank films - why	Soybean Paste	0
Bombardier Billy Wells was seen on many Rank films - why	Mezzo - soprano	0
Bombardier Billy Wells was seen on many Rank films - why	A Skunk	0
Where in France do claret wines come from	Bordeaux	1
Where in France do claret wines come from	Hooterville	0
Where in France do claret wines come from	Benjamin Britain	0
